Country,City,Confirmed,Recovered,Deaths,Latitude,Longtitude,Codes,Continent,Date
Algeria,El Oued Province,31,0,8,33.3611766,6.8603492,DZA,Africa,26-04-2020
Algeria,Batna Province,26,1,4,35.554404,6.1767453,DZA,Africa,26-04-2020
Algeria,Adrar Province,25,0,1,27.8733807,-0.2874884,DZA,Africa,26-04-2020
Algeria,Khenchela Province,25,0,2,7.145711,35.43015399999999,DZA,Africa,26-04-2020
Algeria,Annaba Province,24,3,3,36.8982165,7.7549272,DZA,Africa,26-04-2020
Algeria,Aïn Témouchent Province,24,0,4,35.26665705,-1.1499276224075037,DZA,Africa,26-04-2020
Algeria,Bouïra Province,20,1,2,36.37390120000001,3.9007007000000007,DZA,Africa,26-04-2020
Algeria,Laghouat Province,20,0,0,33.8063518,2.8808616000000002,DZA,Africa,26-04-2020
Algeria,Tébessa Province,20,0,2,35.4035956,8.1212322,DZA,Africa,26-04-2020
Algeria,Relizane Province,18,0,3,35.738119299999994,0.5547673000000001,DZA,Africa,26-04-2020
Algeria,M'Sila Province,17,0,6,35.70875529999999,4.5371552,DZA,Africa,26-04-2020
Algeria,Guelma Province,16,0,1,36.465084000000004,7.4306470000000004,DZA,Africa,26-04-2020
Algeria,Béchar Province,14,0,0,31.616535499999998,-2.2180053,DZA,Africa,26-04-2020
Algeria,El Taref Province,10,0,0,35.6476666,5.4598195,DZA,Africa,26-04-2020
Algeria,Mila Province,9,0,1,36.451941,6.262331,DZA,Africa,26-04-2020
Algeria,Souk Ahras Province,7,0,1,36.284832,7.9515466,DZA,Africa,26-04-2020
Algeria,Saïda Province,4,0,0,34.841640500000004,0.1509912,DZA,Africa,26-04-2020
Algeria,El Bayadh Province,3,0,0,33.63785225,1.0122039112504564,DZA,Africa,26-04-2020
Algeria,Illizi Province,2,0,0,26.4880835,8.357149150673568,DZA,Africa,26-04-2020
Algeria,Naâma Province,1,0,0,33.2647342,-0.3110393,DZA,Africa,26-04-2020
Algeria,Tamanrasset Province,1,0,0,22.7854543,5.5324465,DZA,Africa,26-04-2020
Argentina,Buenos Aires Province,1181,0,72,-35.145801399999996,-62.7306676,ARG,South America,26-04-2020
Argentina,Buenos Aires,1095,0,59,-34.6075682,-58.4370894,ARG,South America,26-04-2020
Argentina,Chaco Province,281,0,11,-25.3042318,-57.6149682,ARG,South America,26-04-2020
Argentina,Cordoba,272,0,11,-31.4173391,-64.183319,ARG,South America,26-04-2020
Argentina,Santa Fe Province,239,0,2,-32.92920765,-60.818794351479255,ARG,South America,26-04-2020
Argentina,Río Negro,178,0,6,-40.4811973,-67.6145911,ARG,South America,26-04-2020
Argentina,Tierra del Fuego Province,114,0,0,-54.4071064,-67.8974895,ARG,South America,26-04-2020
Argentina,Neuquen,107,0,4,-38.36950570000001,-69.832275,ARG,South America,26-04-2020
Argentina,Mendoza Province,75,0,10,-35.145801399999996,-62.7306676,ARG,South America,26-04-2020
Argentina,La Rioja Province,47,0,4,-32.87875080000001,-68.835015,ARG,South America,26-04-2020
Argentina,Santa Cruz Province,42,0,0,-48.569332700000004,-70.1606767,ARG,South America,26-04-2020
Argentina,Corrientes,40,0,0,-28.5912315,-57.939465799999994,ARG,South America,26-04-2020
Argentina,Tucumán,34,0,3,-26.5643582,-64.882397,ARG,South America,26-04-2020
Argentina,Entre Rios,22,0,0,-31.6252842,-59.353957799999996,ARG,South America,26-04-2020
Argentina,Santiago del Estero Province,12,0,0,-34.7092989,-58.4090002,ARG,South America,26-04-2020
Argentina,San Luis Province,10,0,0,-25.2208616,-57.518976,ARG,South America,26-04-2020
Argentina,Misiones Province,6,0,1,-51.6296805,-69.2067251,ARG,South America,26-04-2020
Argentina,Jujuy,5,0,0,-23.3161458,-65.7595288,ARG,South America,26-04-2020
Argentina,La Pampa,5,0,0,-37.2314643,-65.3972948,ARG,South America,26-04-2020
Argentina,Salta Province,3,0,0,-32.89604480000001,-68.8348455,ARG,South America,26-04-2020
Argentina,Chubut Province,2,0,0,-44.99026420000001,-70.81717306137952,ARG,South America,26-04-2020
Argentina,San Juan Province,2,0,0,-25.4656076,-54.68059153754289,ARG,South America,26-04-2020
Armenia,Yerevan,219,0,7,40.17761210000001,44.5125849,ARM,Asia,26-04-2020
Armenia,Ararat Province,179,0,0,39.9530516,44.801806075,ARM,Asia,26-04-2020
Armenia,Kotayk Province,88,0,0,40.280317499999995,44.654579299999995,ARM,Asia,26-04-2020
Armenia,Armavir Province,83,0,0,40.1158531,43.936541399999996,ARM,Asia,26-04-2020
Armenia,Syunik Province,25,0,0,39.35086995,46.155037887649314,ARM,Asia,26-04-2020
Armenia,Shirak Province,20,0,1,40.81400525,43.87987291777994,ARM,Asia,26-04-2020
Armenia,Lori Province,12,0,0,40.9589685,44.54629758256929,ARM,Asia,26-04-2020
Armenia,Aragatsotn Province,10,0,0,40.479544,44.29490030548395,ARM,Asia,26-04-2020
Armenia,Gegharkunik Province,10,0,0,40.30526105,45.41001320000001,ARM,Asia,26-04-2020
Armenia,Tavush Province,6,0,0,40.97285215,45.15347536249365,ARM,Asia,26-04-2020
Armenia,Vayots Dzor Province,1,0,0,39.75381845,45.4236282167009,ARM,Asia,26-04-2020
Australia,New South Wales,2994,0,0,-31.875983500000004,147.2869493,AUS,Oceania,26-04-2020
Australia,Victoria,1346,0,0,-36.5986096,144.6780052,AUS,Oceania,26-04-2020
Australia,Queensland,1026,0,0,-22.1646782,144.58449030000003,AUS,Oceania,26-04-2020
Australia,Western Australia,549,0,0,-25.230300500000002,121.0187246,AUS,Oceania,26-04-2020
Australia,South Australia,438,0,0,-30.534366499999997,135.6301212,AUS,Oceania,26-04-2020
Australia,Tasmania,209,0,0,-42.14220555,146.67235178784668,AUS,Oceania,26-04-2020
Australia,Australian Capital Territory,106,0,0,-35.488350200000006,149.00269419999995,AUS,Oceania,26-04-2020
Australia,Northern Territory,27,0,0,-19.851610100000002,133.2303375,AUS,Oceania,26-04-2020
Austria,Tyrol,3427,2556,86,47.223193,11.5261028,AUT,Europe,26-04-2020
Austria,Lower Austria,2495,1572,83,48.2817813,15.763245699999999,AUT,Europe,26-04-2020
Austria,Upper Austria,2205,1884,41,48.25,14.0,AUT,Europe,26-04-2020
Austria,Vienna,2204,1635,96,48.2083537,16.372504199999998,AUT,Europe,26-04-2020
Austria,Styria,1663,816,106,47.2500001,15.166666500000002,AUT,Europe,26-04-2020
Austria,Salzburg,1201,930,30,47.798134600000004,13.046480599999999,AUT,Europe,26-04-2020
Austria,Vorarlberg,859,731,10,47.25,9.916666699999999,AUT,Europe,26-04-2020
Austria,Carinthia,394,307,10,46.7500001,13.833333300000001,AUT,Europe,26-04-2020
Austria,Burgenland,307,200,8,47.5000001,16.4166666,AUT,Europe,26-04-2020
Belgium,Flanders,24697,0,0,51.0962462,4.1798512892601565,BEL,Europe,26-04-2020
Belgium,Wallonia,14293,0,0,50.1545331,5.3991821671645575,BEL,Europe,26-04-2020
Belgium,Brussels,4438,0,0,50.8465573,4.351697,BEL,Europe,26-04-2020
Bolivia,Santa Cruz Department,446,0,19,-17.333333,-61.5,BOL,South America,26-04-2020
Bolivia,La Paz Department,155,0,14,-18.0226485,-70.25354370000001,BOL,South America,26-04-2020
Bolivia,Cochabamba Department,70,0,6,-18.0226485,-70.25354370000001,BOL,South America,26-04-2020
Bolivia,Oruro Department,65,0,2,-22.0889644,-65.59196452500437,BOL,South America,26-04-2020
Bolivia,Beni Department,33,0,1,-19.024982,-65.703455,BOL,South America,26-04-2020
Bolivia,Potosi Department,21,0,1,-20.666667,-66.666667,BOL,South America,26-04-2020
Bolivia,Pando Department,12,0,1,-11.183333,-67.18333299999999,BOL,South America,26-04-2020
Bolivia,Tarija Department,3,0,0,-11.3760022,-67.288238,BOL,South America,26-04-2020
Bolivia,Chuquisaca Department,2,0,0,-64.416667,-20.0,BOL,South America,26-04-2020
Brazil,State of São Paulo,17826,0,1512,-23.5506507,-46.633382399999995,BRA,South America,26-04-2020
Brazil,State of Rio de Janeiro,6282,0,570,-22.911013699999998,-43.2093727,BRA,South America,26-04-2020
Brazil,State of Ceará,4800,0,284,-5.3264703,-39.715607299999995,BRA,South America,26-04-2020
Brazil,State of Pernambuco,3999,0,352,-8.4116316,-37.591969899999995,BRA,South America,26-04-2020
Brazil,State of Amazonas,3194,0,255,-4.479925,-63.518539600000004,BRA,South America,26-04-2020
Brazil,State of Bahia,1962,0,64,-12.285250999999999,-41.9294776,BRA,South America,26-04-2020
Brazil,State of Maranhão,1951,0,88,-5.2085503,-45.3930262,BRA,South America,26-04-2020
Brazil,State of Pará,1446,0,75,-4.7493932999999995,-52.89730060000001,BRA,South America,26-04-2020
